name,domain
l&t infotech,lntinfotech.com
sonatrach,sonatrach.com
pizza hut,pizzahut.com
technip,technip.com
eni,eni.com
altran,altran.com
emerson automation solutions,emerson.com
the boston consulting group (bcg),bcg.com
l-3 communications,l3design.eu
davita,davita.com
intesa sanpaolo,intesasanpaolo.com
daimler ag,daimler.com
lear corporation,lear.com
rockwell automation,rockwellautomation.com
rb,rb.com
db schenker,dbschenker.com
wells fargo advisors,wellsfargoadvisors.com
accenture in india,
texas a&m university,tamu.edu
bloomberg lp,bloomberg.com
arizona state university,asu.edu
heineken,theheinekencompany.com
statoil,statoil.com
ppg industries,ppg.com
sainsbury's,sainsburys.co.uk
fiserv,fiserv.com
teva pharmaceuticals,tevapharm.com
rogers communications,rogers.com
conocophillips,conocophillips.com
diageo,diageo.com
michigan state university,msu.edu
qatar airways,qatarairways.com
generali,generali.com
suntrust bank,suntrust.com
rockwell collins,rockwellcollins.com
office depot,officedepot.com
sephora,sephora.com
telenor,telenor.com
manulife,manulife.com
ceva logistics,cevalogistics.com
"nbcuniversal media, llc",nbcuniversal.com
ministerie van defensie,werkenbijdefensie.nl
university of phoenix,phoenix.edu
standard chartered bank,
pdvsa petroleos de venezuela s.a.,pdvsa.com
sutherland global services,sutherlandglobal.com
four seasons hotels and resorts,fourseasons.com
harvard university,harvard.edu
telecom italia,telecomitalia.com
ucla,ucla.edu
international paper,internationalpaper.com
geico,geico.jobs
pôle emploi,pole-emploi.org
ch2m hill,ch2m.com
kellogg company,kelloggcompany.com
t-systems,t-systems.com
purdue university,purdue.edu
anheuser-busch inbev,ab-inbev.com
columbia university in the city of new york,columbia.edu
chase,chase.com
providence health & services,providence.org
university of illinois at urbana-champaign,illinois.edu
junta de andalucía,juntadeandalucia.es
whirlpool corporation,whirlpoolcorp.com
university of southern california,usc.edu
desjardins,desjardins.com
telus,telus.com
hays,hays.com
rite aid,riteaid.com
vanguard,vanguard.com
enterprise holdings,enterpriseholdings.com
leidos,leidos.com
sky,sky.com
blackrock,blackrock.com
henkel,henkel.com
tnt,tnt.com
asda,asda.jobs
mckesson,mckesson.com
network rail,networkrail.co.uk
compass group,compass-group.com
atlas copco,atlascopco.com
rio tinto,riotinto.com
robert bosch,bosch.us
marks and spencer,marksandspencer.com
us army corps of engineers,
united states army reserve,
regions bank,regions.com
the university of texas at austin,utexas.edu
zurich insurance company ltd,zurich.com
ppd,ppd.com
generalitat de catalunya,gencat.cat
poste italiane,posteitaliane.it
grant thornton llp,grantthornton.com
the hartford,thehartford.com
nasa,nasa.gov
new york university,nyu.edu
kotak mahindra bank,kotak.com
university of pennsylvania,upenn.edu
paypal,paypal.com
the goodyear tire & rubber company,goodyear.com
fifth third bank,53.com
intertek,intertek.com
wells fargo home mortgage,
symantec,symantec.com
unicef,unicef.org
uc berkeley,berkeley.edu
nsw department of education and communities,nsw.gov.au
"starwood hotels & resorts worldwide, inc.",starwoodhotels.com
quest diagnostics,questdiagnostics.com
sam's club,samsclub.com
rutgers university,rutgers.edu
ing,ing.nl
ge capital,gecapital.com
westpac,westpac.com.au
northern trust corporation,northerntrust.com
sasol,sasol.com
electrolux,electroluxgroup.com
claro,claro.com.br
university of wisconsin-madison,wisc.edu
general mills,generalmills.com
unisys,unisys.com
burger king corporation,bk.com
